Tyear,GrpTyear,Site,Year,Date,Round,Quad,Image,Species,Len,Area
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,0,7981,EROCIC,8.292,36.667
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,0,7982,EROCIC,8.271,32.877
IRC13_2021_1,IRC13_2021,IRC13,2021,03/18,1,0,7983,MEDPOL,17.985,
IRC01_2021_1,IRC01_2021,IRC01,2021,03/22,1,0,8133,DICCAP,16.557,
IRC01_2021_1,IRC01_2021,IRC01,2021,03/22,1,10,8159,CLAPER,3.645,8.685
IRC01_2021_1,IRC01_2021,IRC01,2021,03/22,1,10,8160,CLAPER,3.323,6.070
IRC01_2021_1,IRC01_2021,IRC01,2021,03/22,1,15,8174,CLAPER,4.827,12.472
IRC01_2021_1,IRC01_2021,IRC01,2021,03/22,1,15,8176,CLAPER,4.702,14.076
IRC01_2021_1,IRC01_2021,IRC01,2021,03/22,1,20,8194,CLAPER,4.912,15.574
IRC01_2021_1,IRC01_2021,IRC01,2021,03/22,1,20,8195,CLAPER,5.162,16.058
IRC01_2021_1,IRC01_2021,IRC01,2021,03/22,1,20,8196,CLAPER,4.325,12.231
GYP01_2021_1,GYP01_2021,GYP01,2021,03/23,1,45,8259,EROCIC,12.781,70.124
GYP01_2021_1,GYP01_2021,GYP01,2021,03/23,1,45,8260,EROCIC,7.205,24.914
GYP01_2021_1,GYP01_2021,GYP01,2021,03/23,1,25,8294,EROCIC,12.940,72.084
GYP01_2021_1,GYP01_2021,GYP01,2021,03/23,1,25,8295,EROCIC,15.279,79.623
GYP01_2021_1,GYP01_2021,GYP01,2021,03/23,1,25,8296,ESCCAL,26.085,1035.022
GYP01_2021_1,GYP01_2021,GYP01,2021,03/23,1,25,8298,EROCIC,11.556,34.794
GYP08_2021_1,GYP08_2021,GYP08,2021,03/23,1,15,8348,SISBEL,21.441,232.728
GYP08_2021_1,GYP08_2021,GYP08,2021,03/23,1,15,8349,SISBEL,22.482,216.330
GYP08_2021_1,GYP08_2021,GYP08,2021,03/23,1,15,8350,SISBEL,21.739,191.430
GYP08_2021_1,GYP08_2021,GYP08,2021,03/23,1,15,8351,SISBEL,20.071,183.824
GYP08_2021_1,GYP08_2021,GYP08,2021,03/23,1,15,8352,SISBEL,17.274,149.250
GYP08_2021_1,GYP08_2021,GYP08,2021,03/23,1,15,8353,SISBEL,22.290,200.827
GYP08_2021_1,GYP08_2021,GYP08,2021,03/23,1,15,8354,SISBEL,29.397,305.313
GYP08_2021_1,GYP08_2021,GYP08,2021,03/23,1,15,8355,SISBEL,29.303,275.639
GYP08_2021_1,GYP08_2021,GYP08,2021,03/23,1,15,8356,SISBEL,24.375,272.397
GYP08_2021_1,GYP08_2021,GYP08,2021,03/23,1,15,8357,SISBEL,19.106,192.603
GYP08_2021_1,GYP08_2021,GYP08,2021,03/23,1,25,8380,MICLIN,6.263,25.262
GYP08_2021_1,GYP08_2021,GYP08,2021,03/23,1,25,8381,MICLIN,10.540,60.951
GYP08_2021_1,GYP08_2021,GYP08,2021,03/23,1,25,8382,MICLIN,8.389,44.228
GYP08_2021_1,GYP08_2021,GYP08,2021,03/23,1,25,8383,MICLIN,10.731,62.707
GYP08_2021_1,GYP08_2021,GYP08,2021,03/23,1,25,8384,MICLIN,7.140,28.059
GYP08_2021_1,GYP08_2021,GYP08,2021,03/23,1,25,8385,MICLIN,8.743,31.407
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,30,8417,BRATOU,7.254,25.930
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,30,8418,BRATOU,9.123,31.028
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,30,8419,BRATOU,10.517,38.716
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,30,8421,BRATOU,8.730,30.365
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,45,8464,EROCIC,10.471,49.364
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,45,8465,EROCIC,11.193,53.049
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,40,8467,MIRLAE,21.022,323.258
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,40,8468,MIRLAE,20.226,294.777
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,40,8470,MIRLAE,19.633,255.714
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,40,8471,MIRLAE,18.344,217.011
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,35,8473,BRATOU,9.872,36.780
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,35,8474,BRATOU,9.806,42.564
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,35,8475,BRATOU,9.192,32.640
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,35,8476,BRATOU,8.382,29.679
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,35,8477,BRATOU,10.211,50.778
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,35,8478,BRATOU,10.076,37.115
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,35,8479,BRATOU,8.601,32.187
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,35,8480,BRATOU,9.682,39.550
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,35,8481,BRATOU,10.280,43.564
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,30,8483,BRATOU,9.737,38.420
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,30,8484,BRATOU,8.962,29.732
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,30,8485,BRATOU,10.309,34.820
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,30,8486,BRATOU,8.140,27.932
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,30,8487,BRATOU,7.582,20.998
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,30,8488,BRATOU,8.366,29.861
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,30,8489,BRATOU,8.280,37.856
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,30,8490,BRATOU,9.497,43.074
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,25,8492,CRY,6.155,29.195
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,25,8493,CRY,6.783,35.330
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,25,8494,BRATOU,10.536,34.784
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,25,8495,BRATOU,10.950,42.122
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,25,8496,BRATOU,8.530,29.307
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,25,8497,BRATOU,10.066,39.440
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,25,8498,BRATOU,10.141,37.522
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,25,8499,BRATOU,9.252,32.432
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,25,8500,BRATOU,8.288,27.397
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,25,8501,BRATOU,9.670,30.604
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,25,8502,BRATOU,8.548,24.001
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,25,8503,EROCIC,11.718,54.295
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,25,8504,EROCIC,7.858,22.621
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,20,8507,BRATOU,9.288,35.017
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,20,8508,BRATOU,9.685,41.954
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,20,8509,BRATOU,9.871,37.194
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,20,8510,BRATOU,10.603,42.653
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,20,8511,BRATOU,10.683,41.864
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,20,8512,BRATOU,9.186,29.464
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,20,8513,BRATOU,9.417,33.899
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,20,8515,BRATOU,10.115,41.824
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,20,8516,BRATOU,8.625,31.107
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,20,8517,EROCIC,11.082,54.519
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,20,8518,EROCIC,10.598,56.953
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,20,8519,EROCIC,10.985,48.103
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,20,8520,EROCIC,10.267,46.448
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,20,8521,EROCIC,11.417,50.033
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,20,8522,EROCIC,10.656,52.211
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,20,8523,EROCIC,12.632,64.755
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,20,8524,EROCIC,12.069,62.231
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,20,8525,CRY,7.833,39.307
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,20,8527,CRY,7.311,41.690
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,15,8529,BRATOU,8.820,31.211
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,15,8531,BRATOU,9.906,37.492
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,15,8532,BRATOU,11.372,51.730
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,15,8533,BRATOU,11.016,39.472
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,15,8534,BRATOU,9.646,39.823
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,15,8535,BRATOU,8.690,27.328
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,15,8536,BRATOU,10.036,35.896
SS05_2021_1,SS05_2021,SS05,2021,03/25,1,15,8538,BRATOU,8.874,29.468
I14_2021_1,I14_2021,I14,2021,03/26,1,10,8594,SONOLE,8.361,57.596
I14_2021_1,I14_2021,I14,2021,03/26,1,10,8595,SONOLE,11.072,92.667
I14_2021_1,I14_2021,I14,2021,03/26,1,10,8596,SONOLE,9.720,77.453
I14_2021_1,I14_2021,I14,2021,03/26,1,10,8597,SONOLE,12.891,146.735
I14_2021_1,I14_2021,I14,2021,03/26,1,10,8598,EROCIC,13.299,66.399
I14_2021_1,I14_2021,I14,2021,03/26,1,10,8599,EROCIC,11.954,57.154
I14_2021_1,I14_2021,I14,2021,03/26,1,10,8600,EROCIC,11.237,54.073
I14_2021_1,I14_2021,I14,2021,03/26,1,10,8601,EROCIC,9.494,36.981
I14_2021_1,I14_2021,I14,2021,03/26,1,10,8602,EROCIC,8.568,31.756
I14_2021_1,I14_2021,I14,2021,03/26,1,10,8603,EROCIC,11.334,48.520
I14_2021_1,I14_2021,I14,2021,03/26,1,10,8604,EROCIC,11.216,42.875
I14_2021_1,I14_2021,I14,2021,03/26,1,10,8605,LUPBIC,8.745,
I14_2021_1,I14_2021,I14,2021,03/26,1,10,8605,LUPBIC,8.411,
I14_2021_1,I14_2021,I14,2021,03/26,1,10,8606,LUPBIC,8.232,
I14_2021_1,I14_2021,I14,2021,03/26,1,10,8606,LUPBIC,6.670,
I14_2021_1,I14_2021,I14,2021,03/26,1,30,8650,EROCIC,10.382,41.805
I14_2021_1,I14_2021,I14,2021,03/26,1,30,8651,EROCIC,10.106,37.220
