Row Labels,ACMGLA,ACMMAR,ADEFAS,AMSMEN,ANAARV,BLOCRO,BRANIG,BRATOU,CALCAT,CALCIL,CALEXS,CALMAC,CALSPL,CALWED,CAMCAL,CAMMIC,CASEXS,Castilleja,CEACRA,CENMEL,CHAGLA,CLAPAR,CLAPUR,CRY,DEIFAS,DICCAP,EMMPEN,ENCCAL,ENCFAR,ERICAL,ERICON,ERIFAS,ERIFOL,EROBOT,EROBRA,EROCIC,EROMOS,ESCCAL,EUCCHR,FOEVUL,GILANG,HESWHI,HIRINC,HYPGLA,KECANT,LASCAL,LUPBIC,LUPSUC,LUPTRE,LUPTRU,MALFAS,MALSAX,MARMAC,MED,MEDPOL,MELIND,MICLIN,MIRLAE,OSMTEN,PHACIC,PHACRY,PHAPAR,PHOAUR,PSECAL,RAFCAL,ROMCOU,SALAPI,SALCOL,SALMAC,SALMEL,SANARG,SCRCAL,SILGAL,SILMAR,SISBEL,SOLXAN,SONASP,SONOLE,TRILAN,unk yellow succ,unknown white,Grand Total
GYP02_2022_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,12
GYP02_2022_2,,,,,,,3,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,14,,,,,,,,,,,,,,,,,,,,,0,,,,,,2,,,,1431,,0,,,,0,,4,,,,1454
GYP02_2022_3,,,,,,8,0,,,,,2,,,,,,,,,,,,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,6,,,,648,,,,,,,,,,,,664
GYP04_2021_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
GYP04_2021_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,,,,,,,,,,0,,,,,48,,,,,,,,,,,,,,,0,,,,,,,,,,298,,,,,,,,,,,,713
GYP04_2021_3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,398
GYP04_2022_1,,,,92,,,,,,,,,,,,,,,,,,,,2,,,,,,0,,,,,,,,0,10,,,,,,0,,,,,,,,,,,,,,,3,,0,,,,,,,,35,,,,,,4,,,,,,146
GYP04_2022_2,27,,,,,,5654,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,35,0,,,,,,5,,,,,,,,,,,,,,,27,,1,,,,,,,,3165,,,,,,,,,,,,8914
GYP04_2022_3,52,,,,,,67,,,,,,,,,,,,,7,,,,,16,,,,,,,80,,,,,,8,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,891,,,,,,,,,,,,1218
GYP08_2021_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,29
